pathway	pval	padj	log2err	ES	NES	size	leadingEdge	DoseComparison	Cluster
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.329411764705882	0.935399723799294	0.271288554688953	0.289880952380952	1.10165790327553	11	ABCC5,PSMC2,ABCD3,ABCF1,PSMD4,PSMC3,PSMA4,UBC,ABCA7,ABCC10,ABCA4	2Gy_vs_0Gy	0
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.681233933161954	1	0.0760837160951725	0.496743635287152	0.83913386091194	2	ABCD3,ABCA7	2Gy_vs_0Gy	0
REACTOME_ABC_TRANSPORTER_DISORDERS	0.176190476190476	0.893239079209715	0.234392647294686	0.499406880189798	1.2387006897509	5	PSMC2,PSMD4,PSMC3,PSMA4,UBC	2Gy_vs_0Gy	0
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	0.99009900990099	1	0.0456790414930062	-0.502958579881657	-0.679610572354572	1	ANAPC11	2Gy_vs_0Gy	0
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	0.0575876800678674	0.859002607013708	0.321775918075361	0.847246891651865	1.43122831342668	2	CCNE2,CDK6	2Gy_vs_0Gy	0
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.76039603960396	1	0.0578529757032509	-0.603550295857988	-0.815532686825487	1	POLR2F	2Gy_vs_0Gy	0
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.976010101010101	1	0.0247790185105207	-0.294621412556211	-0.58054976243077	5	PSENEN,MIB2,UBC,CNTN1	2Gy_vs_0Gy	0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	0.849397590361446	1	0.053347785067549	0.584615384615385	0.787648776105996	1	KRAS	2Gy_vs_0Gy	0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	0.98019801980198	1	0.0461379160269737	-0.510059171597633	-0.689205074552519	1	PIK3R1	2Gy_vs_0Gy	0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	0.849397590361446	1	0.053347785067549	0.584615384615385	0.787648776105996	1	KRAS	2Gy_vs_0Gy	0
